,nounFrame,Freq,label,비고
712,고객,131,,
713,말씀,131,,
714,안사,131,,
715,지식,131,,
716,튜브,131,,
717,한계,131,neg,
718,현물,131,,
719,방침,130,,
720,에너지,130,,
721,제공,130,,
722,질문,130,,
723,향후,130,,
724,후회,130,neg,
725,골드,129,,
726,국회,129,,
727,번호,129,,
728,음모,129,neg,
729,인도,129,,
730,좀비,129,,
731,닷컴,128,,
732,덕분,128,,
733,위협,128,neg,
734,유럽,128,,
735,이더리움클래식,128,,
736,비밀,127,,
737,분야,126,,
738,중고,126,,
739,혁신,126,pos,
740,능력,125,,
741,사용자,125,,
742,전환,125,,
743,주소,125,,
744,지속,125,,
745,토큰,125,,
746,인류,124,,
747,동전,123,,
748,야당,123,,
749,자본주의,123,,
750,체인,123,,
751,출금,123,,
752,포인트,123,,
753,역대,122,,
754,이사,122,,
755,조회,122,,
756,중동,122,,
757,상당,121,,
758,제목,121,,
759,주목,121,,
760,포함,121,,
761,확률,121,,
762,노무현,120,,
763,눈치,120,,
764,도박장,120,neg,
765,환율,120,,
766,논문,119,,
767,대장,119,,
768,욕심,119,neg,
769,적금,119,,
770,지불,119,,
771,광기,118,neng,
772,근거,118,,
773,민박,118,,
774,복권,118,,
775,분위기,118,,
776,새벽,118,,
777,용돈,118,,
778,우려,118,neg,
779,익명,118,,
780,청문회,118,-,
781,대화,117,,
782,업계,117,,
783,요청,117,,
784,의문,117,,
785,카지노,117,neg,
786,프레임,117,,
787,회의,117,,
788,그림,116,,
789,금요일,116,,
790,기축,116,,기축통화
791,나머지,116,,
792,떼돈,116,pos,
793,엔화,116,,
794,종일,116,,
795,중독,116,neg,
796,커피,116,,
797,기대,115,pos,
798,위원장,115,,
799,임종석,115,,
800,잘못,115,neg,
801,적용,115,,
802,정당,115,,
803,한강가즈아,115,neg,
804,현금화,115,,
805,총리,114,,
806,총재,114,,
807,환경,114,,
808,가족,113,,
809,결정,113,,
810,베이스,113,,
811,소득,113,,
812,스타,113,,
813,실패,113,,
814,아이템,113,,
815,원금,113,,
816,유지,113,,
817,인상,113,neg,
818,재승,113,,
819,형태,113,,
820,개소리,112,neg,
821,검찰,112,,
822,생산,112,,
823,언급,112,,
824,업자,112,,
825,연말,112,,
826,일정,112,,
827,피라미드,112,,
828,그동안,111,,
829,대중,111,,
830,변동성,111,-,
831,참여,111,,
832,흥미,111,pos,
833,강의,110,,
834,노동,110,,
835,논의,110,,
836,단속,110,neg,
837,대학,110,,
838,방안,110,,
839,분기,110,,
840,살수,110,,
841,시민,110,,
842,증가,110,pos,
843,거리,109,,
844,그것이알고싶다,109,-,
845,남아,109,,
846,모건,109,,
847,저기,109,,
848,집값,109,,
849,평화,109,,
850,가야,108,,
851,법적,108,,
852,시바,108,,
853,자살,108,neg,
854,정치인,108,,
855,주의,108,neg,
856,카카오,108,,
857,수사,107,neg,
858,재화,107,,
859,판결,107,,
860,포털,107,,
861,비교,106,,
862,입금,106,,
863,재앙,106,neg,
864,죽음,106,,
865,환전,106,,
866,발생,105,,
867,세기,105,,
868,지방,105,,
869,한탕주의,105,neg,
870,황금,105,,
871,고래,104,,
872,마이너스,104,neg,
873,소액,104,,
874,스위스,104,,
875,스텔라,104,,
876,운영,104,,
877,이놈,104,,
878,일종,104,,
879,젊은층,104,,
880,종류,104,,
881,해시,104,,나이스해시
882,가정,103,,
883,개입,103,,
884,결국,103,,
885,계약,103,,
886,고민,103,,
887,달라,103,,
888,의도,103,,
889,이자,103,,
890,집중,103,,
